,drug,drug_name
3278,BACT01,Baclosal Tab 10 mg                                
3290,TIDT01,Tidar Tab 4 mg                                    
3296,UREEX2,Urea Cream 10% 30 g (  )              
3299,MAFT04,Maforan Tab 2 mg *HAD*               
3302,MEDT02,Meditic Tab ( Uretic)                  
3305,PRET06,Prenolol Tab 50 mg                        
3308,KANE01,Kanolone 0.1% Lotion 60 ml                
3335,BETT07,Betalol TAB 40 mg (Propranolol)                   
3341,METT10,Methylphenidate HCl Tab10 mg *HAD*                
3366,MIXI04,Mixtard 30HM (30/70) Inj ( 1000 U/10ml )          
3379,SUGT01,Sugril Tab 5 mg                                   
3430,DOSI01,Dosanac Inj 75 mg/3 ml                            
3461,ASPT04,Aspent    TAB   300   MG                          
3465,ATOT02,*(d) Atorvastatin Tab 40 mg (SANDOZ FCT)  
3508,BUST02,Buscopan   Tab                                    
3524,RIST05,Neuris Tab 2 mg  (Risperidone)                    
3534,METT04,Methadone Tab 5 mg *HAD*                          
3549,KANI02,*(d) Kanolone IA/ID 50 mg/5 ml
3552,PRET11,Prenarpil Tab 0.5 mg                              
3553,RIST05,*(d) Neuris Tab 2 mg (Risperidone)
3559,BENT03,*(d) Benzhexol Tab 2 mg
3602,MAGT01,Magesto-F Tab                                     
3625,CURT01,Curmin 350 mg Cap ()                      
3676,CIFT01,Cifloxin Tab 250 mg                               
3682,OSRL01,OSRA R.O. (  ORS ) 5.5 g                          
3694,BUNE01,Bunase Aq Nasal Spray 100 mcg/puff                
3699,CANE02,Canesten Cream 20 g                               
3722,NAPT01,Naprosian Tab 250 mg                      
3726,ORKT01,Orkelax Tab                               
3731,FMLE01,FML 0.1% Eye Drops 5 ml                           
3732,ATRE02,Atropine  Eye Drops  1%   5 ml                    
3749,HYDI02,*(d) HydroCORTISONE Inj 100 mg
3750,RANI01,*(d) RANIdine Inj 50 mg/2 ml
3751,ADRI01,*(d) Adrenaline Inj 1 mg/ml *HAD*
3759,MAWT01,Ma-waeng Lozenge ( 1  20 )      
3771,PENT06,D-PenicilLAMINE Cap 250 mg                        
3778,SERE06,Seretide Evohaler    25/50                        
3789,DERE04,Dermacombin Cream 5 g                             
3827,FENT03,Fenafex Tab 180 mg
3912,HYDT05,Hydroxyzine-FC 10 mg ( Hizin)                  
3914,PROT03,Propyl Tab 50 mg                                  
3926,TOPT02,Topamax Tab 100 mg                                
3927,TEGT01,Tegretol Tab 200 mg                               
3929,LAMT04,Lamictal Tab  25  mg                              
3932,TEGT02,TEGRETOL CR Tab 200 mg                            
3933,LAMT01,Lamictal Tab 100 mg                               
3956,SMWEXS,S.M.W. 500 ml                                     
3962,COMT06,Combizym Tab                                      
3966,FENE03,Fentanyl () 50 mcg/hr *HAD*                
3972,PROE02,Proctosedyl Oint 15 g                             
4048,METT07,Metoprolol  200 Stada  Retard Tab                 
4067,FULT01,Fulox Tab 20 mg                                   
4104,PROT12,*(d) Prograf Cap 1 mg
4125,SYI050,Syringe Insulin  0.5 ml                           
4131,INSI01,"Insulatard HM Inj1,000 U/10 ml (NPH)              "
4170,BIOT02,Biocalm Tab 50 mg                                 
4173,DIAI01,Diagnogreen Inj 25 mg                             
4195,SMWEXS,*(d) S.M.W. 500 ml
4221,MORL01,Morphine Sol.(10mg/5ml) 60ml *HAD*                
4222,MSTT01,MST continus Tab  30  mg *HAD*                    
4241,NELT03,Nelapine 20SR Cap                                 
4264,SYR012,Syringe 10 ml disposable                          
4266,IVS001,IV Set  (Macro)                                   
4267,FLUI04,Fluorescein Sod 10% Inj 5 cc (w/ filter)          
4274,FENE01,Fentanyl () 12 mcg/hr *HAD*                
4335,SIAT01,Siamformet Tab 500 mg  ()
4338,ANAT05,ANapril *TAB. 20 MG.
4341,PRET14,Prenolol Tab 25 mg
4447,SIAT01,Siamformet Tab 500 mg  ()        
4450,PRET14,Prenolol Tab 25 mg                        
4453,ANAT05,ANapril *TAB. 20 MG.                      
4476,RANT01,*(d) Ranidine TABLET 150 mg ( Xanidine)
4478,NSSI01,*(d) NSS 1000 ml (Injection)
4480,MIDI02,*(d) Midazolam Inj 5 mg/ml *HAD*
4499,TETI01,*(d) Tetanus Toxoid 0.5 ml                
4511,ZEFI01,*(d) Zefxon Inj 40 mg
4514,BANE02,*(d) **Capsika-25 Gel 35 g
4516,SODI01,*(d) Sodium Bicarbonate 7.5% Inj 50 ml
4520,LACI01,Lactated Ringer Sol 1000 ml                       
4530,CALE02,*(d) Calamine Lotion 60 ml
4539,NEOE03,*(d) Neotica Balm 25 gm
4548,ALBT02,*(d) Albemed Tab 200 mg
4563,MIS001,*(d) Misty Nebulizer
4564,CRU004,*(d) CRUTCH Adjust Size M
4568,NAUT01,*(d) Nausil Tab 10 mg
4587,FLUL02,Fluimucil    200   MG.                            
4588,ARCT01,Arcoxia Tab  60  mg                               
4589,ZOPT01,*(d) Zolpidem Tab 10 mg *HAD*
4591,KAME03,Kamillosan M Spray 20 ml                          
4593,NSSI10,*(d) NSS 0.9% 5ml
4594,BETE08,*(d) Bethasone Cream 15 g
4595,SKIEX2,*(d) SKIN Cream 30 g
4605,VILT02,*(d) Vilerm Tab 800 mg
4623,VERT01,Vermectin Tab 6 mg                                
4625,ALBT02,Albemed Tab 200 mg                                
4630,SYR012,*(d) Syringe 10 ml disposable
4632,METE01,*(d) Metzodin Nasal Spray 0.05% (10 ml)
4639,UREEX2,*(d) Urea Cream 10% 30 g (  )
4665,MXSAKNTSB,Askina Transorbent 10 x 10 cm /  /       
4678,BERE01,Berodual  INHALER 200 dose
4682,BERE01,*(d) Berodual INHALER 200 dose
4686,INHE01,Inhalex Forte Solution 4 ml
4691,CDOE01,*(d) CD-Oph Eye Drops 5 ml
4713,BERE01,Berodual  INHALER 200 dose                
4717,INHE01,Inhalex Forte Solution 4 ml               
4796,DEXT02,Dextromethorphan Tab 15 mg
4800,CODT06,*(d) Codesia Tab
4821,CRU022,*(d) CRUTCH Adjust Size M (/)
4824,ULTT02,*(d) Ultracet Caplet
4827,REPT01,*(d) Reparil Tab 20 mg
4830,ARCT02,*(d) Arcoxia *Tab 90 mg
4841,MXOPMTWNV,"PneumaticSP walker / AIR SELECT [Aircast] [S,M,L] "
4844,HYDT03,*(d) Hydrochlorothiazide Tab 50mg(HCTZ)
4852,LICT01,*(d) Licarb Cap 300 mg
4872,PORT01,*(d) Porazine Tab 4 mg
4874,DEPT01,*(d) Depakine Tab 200 mg
4896,ZIMT01,*(d) Zimmex Tab 10 mg
4918,MIRT02,*(d) Miracid Cap 20 mg(Omeprazole)        
4941,HYOI01,*(d) Hyoscine Inj 20mg/ml (Generic Buscopan Inj)
4967,MERT03,*(d) Mertigo Tab 12 mg
4969,DEXT02,Dextromethorphan Tab 15 mg                
5021,ANAT05,*(d) ANapril *TAB. 20 MG.
5023,THYT03,*(d) Thyrosit Tab 100 mcg
5041,PARI01,*(d) Paracetamol Inj 300 mg/2ml
5053,CAVI02,*(d) CAVUMOX INJ 1.2 GM
5065,ZEFI02,*(d) Zefa Inj. 1gm                        
5098,HYDI01,*(d) Hydralazine Inj 20 mg (Apresoline)
5121,ONSI01,*(d) Onsia *Inj 4 mg
5140,ARM004,*(d) Arm-sling size L
5150,ARM003,*(d) Arm-sling size M                     
5153,MILL01,*(d) Milk of Magnesia 240 ml              
5178,TRAI02,*(d) Transamin Inj 250 mg/5 ml
5198,ONST01,*(d) Onsia TAB 4 mg
5213,TERE02,*(d) Terramycin Opht Oint () 3.5 g
5215,GENE03,*(d) Gentian Violet Sol (15ml)
5233,NSSI10,NSS 0.9% 5ml                                      
5240,ROST01,*(d) Clindamycin Cap 300 mg ( Rosil Cap )
5275,CCLT01,*(d) C-Clox Cap 250 mg                    
5294,SWII02,Sterile Water for Injection10ml[plastic]          
5313,SCA025,Scalp Vein 25G                                    
5323,ROXT03,Roxinpac FP Tablet 150 mg                         
5329,CHLI04,Chlorpheniramine Inj 10 mg/ml (G.P.O)             
5336,BERI01,*(d) Berirab P Inj 300 iu/2 ml
5347,SCA025,*(d) Scalp Vein 25G
5356,TRCI02,*(d) TRCS ERIg 1000 IU/5 ml               
5389,SIXT01,*(d) Sixime Cap 100 mg
5420,MELT04,MeLOX Tab  ( 15 mg )                              
5439,OCII01,*(d) OCID Inj 40 mg
5444,OCII01,*(d) OCID Inj 40 mg                       
5463,DELT01,Deltacarbon Tab 250 mg                            
5568,BENI03,*(d) Benzathine Pen G 1.2 mU Inj
5624,COL011,Colostomy 1-piece (open bag) LC2000               
5667,PANI03,*(d) Pantoval I.V. Inj 40 mg
5682,ORKT01,*(d) Orkelax Tab                          
5684,DOST02,*(d) Dosanac Tab 50 mg                    
5686,ELA004,"*(d) Elastic Bandage 4""x5yds              "
5696,ARCT01,*(d) Arcoxia Tab 60 mg
5762,ATRE02,*(d) Atropine Eye Drops 1% 5 ml
5764,VIDE01,*(d) Vidisic Gel 10 g
5771,IVS001,*(d) IV Set (Macro)
5773,STO616,*(d) Stomach tube no.16
5817,ARM002,*(d) Arm-sling size S
5824,KCLI01,*(d) KCL Inj 20 meq *HAD*
5827,ACTTX3,*(d) Activated Charcoal 50 g
5830,CART11,*(d) CarDOXA Tab 4 mg
5837,ACTTX3,Activated Charcoal    50   g                      
5844,CHLEX2,*(d) Chlorhexidine Mouth Wash 450 ml
5867,ANAT03,ANapril Tab 5 mg                          
5868,MADT03,Madiplot Tab 20 mg                        
5875,BERT01,Beramol Tab  500  mg
5882,MELT03,Melox Tab 7.5 mg                                  
5891,SOPT01,Sopmil (Verapamil) Tab 40 mg                      
5895,BERT01,Beramol Tab  500  mg                      
5908,ANAT03,ANapril Tab 5 mg
5909,MADT03,Madiplot Tab 20 mg
5980,MECE01,Mecylic Oint 15 gm (generic diprosalic)           
5987,AMKT01,*(d) AMK-1000 Tab                         
5996,LSS003,*(d) Lumbosacral support size L           
5997,SODEX6,*(d) Sod. Bicarb.* EAR* Drop 10 ml
6032,THYT03,Thyrosit Tab 100 mcg
6037,TOBE02,*(d) TobraDex Eye Drops 5 ml
6038,LSS003,*(d) Lumbosacral support size L
6042,MXOSFLSSPS,Seffa L-S support () /         
6065,PERT01,Periactin Tab                                     
6078,ONST02,*(d) Onsia TAB 8 MG
6097,MELT03,*(d) Melox Tab 7.5 mg
6139,VILT01,Vilerm Tab   400   mg                             
6140,ASPT04,*(d) Aspent TAB 300 MG
6142,SPI022,"Spinal Needle 22G x 3 1/2""                        "
6156,CRAE01,Cravit Eye Drops 0.5% 5 ml                        
6238,PEME01,*(d) Pemirox Eye Drops 5 ml
6243,THYT02,*(d) Thyrosit Tab 50 mcg
6253,MXOSFTSPS,Seffa Thumb Support /                 
6256,MAXE01,Maxitrol Eye Oint 3.5 g                           
6261,COTT01,Co-Trimoxazole Tab ( 400/80 )                     
6286,NEVE01,Nevanac 0.1% Eye Drops 5 ml                       
6301,ALPT03,*(d) Alprazolam Tab 0.5 mg *HAD*
6302,LUME02,Lumigan Eye Drop 0.01%  3 ml                      
6303,BRIT04,BrinTELLIX Tab 10 mg                              
6334,BONT02,Bonviva Tab 150 mg                                
6346,LIDI02,Lidocaine HCl Inj 2%  20 ml                       
6381,DOXT01,Doxyclate Cap 100 mg                              
6384,TENT06,Tenofovir Tab 300mg (  B24)              
6385,LAMT14,Lamivudine Tab 300 mg ( B24)             
6388,IBIL01,*(d) Siamox Dry Syrup 60 ml 125 mg./5 ml.
6417,CDOE01,CD-Oph Eye Drops 5 ml                             
6424,ADRT02,Advagraf Cap 1 mg
6430,THYT03,Thyrosit Tab 100 mcg                      
6448,MAXE01,*(d) Maxitrol Eye Oint 3.5 g
6456,ADRT02,Advagraf Cap 1 mg                         
6476,KANI04,Kanolone IA/ID 1 ml                               
6490,TESI02,*(d) Testoviron Depot 250 mg
6507,COTT01,*(d) Co-Trimoxazole Tab ( 400/80 )
6508,FLUT05,*(d) Flucozole CAP. 200 MG.
6515,CLEI02,Clexane Inj  60  mg/0.6  ml
6517,CLEI02,Clexane Inj  60  mg/0.6  ml               
6521,NEXT01,Nexium Tab 20 mg                                  
6523,SERT04,Sermion Tab    30   mg                            
6528,GALT02,GALvus Met Tab (50/1000)                          
6529,OSST03,Ossobon-D Tab                                     
6530,DOPT02,Dopsan-100 Tab                                    
6532,CALE02,Calamine Lotion   60   ml                         
6562,KANI02,*(d) Kanolone IA/ID 50 mg/5 ml            
6564,EMTT01,*(d) Emthexate Tab 2.5 mg *HAD*
6573,NEOT01,Neotigason Cap 10 mg
6575,BENT03,Benzhexol Tab 2 mg                                
6576,NEOT01,Neotigason Cap 10 mg                              
6584,VOPT01,Vopar Tab 250 mg                                  
6585,CALT07,*(d) Caltab-1500
6586,EUTT02,*(d) Euthyrox Tab 100 mcg
6587,NEOT01,Neotigason Cap 10 mg                      
6591,CLOE01,Clobet Cream 10 g                                 
6596,CLOE01,Clobet Cream 10 g
6604,SALEX9,Salicylic acid 5% Oint 30 g                       
6609,DEXT04,Dexa Tab 0.5 mg(Dexamethasone)                    
6614,ALOE02,Aloe Gel 30 g ()                     
6616,CLOE01,Clobet Cream 10 g                         
6617,DIPE04,Diprosone Cream 15 g                              
6621,HIBEX1,Hibiscrub 60 ml                                   
6626,ELOE01,Elomet Cream 5 g                                  
6646,TOPE03,Topoxy 0.25% Cream-10 gm                          
6648,LCDEX2,LCD 5% in TA Cream 5 g                            
6652,ITRT02,*(d) Itracon Cap 100 mg
6659,TENT10,*(d) Teno-EM Tab (  B24)
6666,LAMT12,Lamivudine Tab150 mg (  B24)             
6668,NEVT07,Nevirapine Tab 200 mg(  B24)             
6675,SKIEX2,SKIN Cream 30 g                                   
6687,PROT15,Progynova 1 mg( 28  )                      
6694,ALUT03,Aluminium Tab 500 mg                              
6708,RILT04,Rilpivirine Tab 25 mg  (  B24)           
6723,TERE01,*(d) TerRamycin Opht Oint 3.5 g
6725,OBIT02,Obimin AZ Tab                                     
6783,HARI01,Haridol-D Inj 50 mg/ml                            
6788,ORKT01,Orkelax Tab
6790,PROT06,Provera Tab 5 mg                                  
6823,EFAT05,Efavirenz Tab 600mg(   B24)              
6826,EMTT01,Emthexate Tab 2.5 mg *HAD*                        
6828,ESPE01,Esperson Oint    5   g                            
6829,ISOT01,Isoniazid Tab 100 mg                              
6830,RIFT01,Rifampicin Cap     300   mg                       
6835,KIVT04,Kivexa Tab (600/300) (  B24)             
6848,AVAE01,*(d) Avamys nasal spray 120 ds (27.5 mcg/p
6851,DOXT01,Doxyclate Cap 100 mg
6855,KEPT02,Keppra Tab 500 mg                                 
6896,PHOLX5,Phosphate POTASSIUM  Sol 60 ml                    
6903,RIFT05,Rifinah Cap 150   mg                              
6922,OESE01,Oestrogel 0.06% Topical Gel  80gm                 
6923,LIPT05,*(d) Lipanthyl Cap 200 mg
6925,DOXT01,Doxyclate Cap 100 mg                      
7047,SODT01,Sodamint Tab 300 mg                               
7053,DIAT07,Diamox Tab 250 mg                                 
7065,CYCT01,Cyclo-Progynova 21 s                              
7086,NASE01,NasaCORT nasal spray 55 mcg/dose (120 doses)      
7109,CODT06,Codesia Tab                                       
7113,MEFT01,Mefec Tab 250 mg                                  
7118,DIMI03,*(d) Dimenhydrinate-NIDA Inj 50 mg/ml
7120,GPOT16,GPO-Vir S30 Tab (  B24)                  
7122,FENE02,Fentanyl () 25 mcg/hr *HAD*                
7130,METT01,*(d) Metformin Tab 850 mg
7134,DIPT01,*(d) DiPazide Tab 5 mg **
7157,VERT02,*(d) VeraGEL DMS Tab
7160,CLAT05,*(d) Claron Tab 500 mg
7162,FENE01,Fentanyl () 12 mcg/hr *HAD*
7300,BERE01,Berodual  INHALER 200 dose                        
7313,FLIE02,*(d) Flixotide 125mcg Evohaler
7319,PRET14,*(d) Prenolol Tab 25 mg
7349,HIZT02,Hizin Tab 25 mg                                   
7366,FENE01,Fentanyl () 12 mcg/hr *HAD*        
7409,TARE01,Tarivid Otic Sol 5 ml                             
7450,INSI02,Insulatard HM penfill 3 ml                        
7483,BANE01,*(d) BANbact Oint 5 gm
7496,BANE02,**Capsika-25 Gel 35 g                             
7520,DUOT01,Duocetz Tab                                       
7536,MART01,Marvelon-28                                       
7550,HEBI01,*(d) Heberbiovac HB Inj. (20 mcg/ml) 1ml
7551,MINE01,Minirin Nasal Sol 0.1 mg/ml (2.5 ml)              
7555,PETI02,*(d) Pethidine Inj 50 mg *HAD*
7558,METEX10,*(d) () Methylsalicylate Oint.() 30 gm
7561,XYLE01,*(d) Xylocaine Jelly 30 g
7569,ADDT01,Addi-K Tab 750 mg (slow release)                  
7616,FMLE01,*(d) FML 0.1% Eye Drops 5 ml
7618,GRIT03,Grisflavin Tab 500 mg                             
7667,DEXE01,Dexoph Eye Drops 4 ml                             
7788,AMIT03,AmiTRIPtyline 25 MG tab                           
7818,BEST02,Bestatin TAB   40   MG.
7820,SUGT01,Sugril Tab 5 mg
7823,TEET04,Teevir Tab (  B24)  (300/600/200m
7824,FERT01,FerLi - 6   Tab
7833,SKIEX1,*(d) SKIN Cream 120 g
7837,BEST02,Bestatin TAB   40   MG.                   
7839,SUGT01,Sugril Tab 5 mg                           
7850,BEST01,Bestatin Tab   20   mg
7851,FOLT02,Folivit Tab 5 mg
7852,FOLT02,Folivit Tab 5 mg                          
7856,FERT01,FerLi - 6   Tab                           
7857,DOUT01,Douzabox Tab (Vitamin B1-6-12 )
7858,HYDT03,Hydrochlorothiazide Tab 50mg(HCTZ)
7859,AMLT02,AmLOpine   *TAB    10   MG
7919,PROT11,Progynova 2 mg( 28 )                       
7922,BEST01,Bestatin Tab   20   mg                    
7923,HYDT03,Hydrochlorothiazide Tab 50mg(HCTZ)        
7924,AMLT02,AmLOpine   *TAB    10   MG                
8010,VERT02,VeraGEL DMS   Tab                                 
8066,D5WI01,D-5-W 100 ml                                      
8093,MXOCWSPNV,"CTS Wrist Support [S,M,L] //              "
8236,NIFT03,Nifedipin T20 Stada Retard                        
8295,CRU003,*(d) CRUTCH Adjust Size L
8376,CALT09,*(d) CALTAB-835 Tab
8449,CHLLX1,*(d) CHLORAL Hydrate 30 ml ()
8478,ARM004,Arm-sling size L                                  
8511,ATOT02,Atorvastatin Tab 40 mg (SANDOZ FCT)       
8545,ASPT01,Aspent-M Tab 81 mg                        
8640,ZOLT01,Zoloft Tab 50 mg                                  
8641,VALT01,Valdoxan Tab 25 mg                                
8644,ASPT01,Aspent-M Tab 81 mg
8667,ALPT01,*(d) Alpha-D3 Cap 0.25 mcg
8668,CALT05,*(d) Caltrate-600 Tab
8680,TRIE02,Trinolone Oral Paste 5 g                          
8684,MEDT01,*(d) Medi-Alpha Cap 0.25 mcg
8867,PROE03,Proctosedyl Suppo                                 
8875,MINT08,Minirin Tab 0.1 mg                                
8877,EUTT01,*(d) Euthyrox Tab 50 mcg
8910,XYLE01,Xylocaine Jelly 30 g                              
8952,SEL001,Selfcath  *FEMALE*                                
8982,REQT01,Requip PD 2mg PR Tab                              
9022,INTI15,Intaxel Inj 30 mg/5 ml  (X)I0006*Chemo* *HAD*     
9026,HCTT01,HCTZ Tab 25 mg (Blister) (T.O)
9049,POTL_2,Potassium Cl.(conc) 60 ml     Mixt                
9053,BETEX3,Betamed Solution-450 cc                           
9055,ZYNE02,Zyno Cream 0.1%-5 gm                              
9079,POTL_3,*(d) Potassium Cl.(conc) 30 ml Mixt       
9085,BETE08,Bethasone Cream 15 g                              
9095,OFLT02,*(d) Ofloxin Tab 200 mg
9098,PYRT01,Pyrazinamide Tab 500 mg                           
9101,ETHT01,Ethambutol 400  mg  Tab (TOBUTOL)                 
9125,TOPE03,*(d) Topoxy 0.25% Cream-10 gm
9126,DIPE04,*(d) Diprosone Cream 15 g
9127,TRIEX4,Trichloroacetic acid 100% 30ml                    
9143,OPS102,Opsite Post Op Size 9.5cm x 8.5cm                 
9147,MXMAKNFB,Askina Foam 10x10cm./                    
9150,FURT01,*(s) FuroSemide Tab 40 mg
9154,MADT03,*(s) Madiplot Tab 20 mg
9158,BEST02,*(s) Bestatin TAB 40 MG.
9162,CART12,*(s) CarDEloc Tab 100 mg
9166,LORT03,*(s) LoRANTA Tab 50 mg
9170,TIMT01,*(s) Timazol Tab 5 mg
9178,CYTT01,Cytotec Tab 200 mcg                               
9187,AMIT03,*(d) AmiTRIPtyline 25 MG tab
9193,POTL_1,Potassium Cl.(conc)  240ml    Mixt                
9209,CART10,*(d) CarDOXA Tab 2 mg
9215,CRU021,CRUTCH Adjust Size S  (/)
9243,RABT02,Rabeprazole Sandoz GRT 20 mg                      
9259,FIRT01,Firide Tab 5 mg                                   
9285,ISOT04,*(d) Isoptin SR Tab 240 mg
9317,SWIL02,Swiff Sol 45 ml                                   
